protocol_type,src_ip,dst_ip,sport,dport,tcp_flags,packet_size,ttl,service,flag,duration,flow_duration,packet_rate,packet_count,byte_count,avg_packet_size,syn_count,ack_count,fin_count,rst_count,prediction
tcp,172.24.245.120,192.168.0.1,2459,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2460,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2461,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2462,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2463,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2464,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2465,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2466,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2467,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2468,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2469,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2470,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2471,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2472,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2473,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2474,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2475,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2476,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2477,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2478,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2479,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2480,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
